Issue_Year,Cash_Settlements,Guarantees,Guar_Duration,Guar_Duration_Lower,Guar_Duration_Upper,Type,Key,Rate_%
2004,True,True,x<=5,-1,5,B,2004_TRUE_TRUE_x<=5_B,5.0
2005,True,True,x<=5,-1,5,B,2005_TRUE_TRUE_x<=5_B,4.75
2006,True,True,x<=5,-1,5,B,2006_TRUE_TRUE_x<=5_B,4.75
2007,True,True,x<=5,-1,5,B,2007_TRUE_TRUE_x<=5_B,4.75
2008,True,True,x<=5,-1,5,B,2008_TRUE_TRUE_x<=5_B,5.0
2009,True,True,x<=5,-1,5,B,2009_TRUE_TRUE_x<=5_B,5.25
2010,True,True,x<=5,-1,5,B,2010_TRUE_TRUE_x<=5_B,4.75
2011,True,True,x<=5,-1,5,B,2011_TRUE_TRUE_x<=5_B,4.5
2012,True,True,x<=5,-1,5,B,2012_TRUE_TRUE_x<=5_B,4.0
2013,True,True,x<=5,-1,5,B,2013_TRUE_TRUE_x<=5_B,3.75
2014,True,True,x<=5,-1,5,B,2014_TRUE_TRUE_x<=5_B,4.0
2015,True,True,x<=5,-1,5,B,2015_TRUE_TRUE_x<=5_B,3.75
2016,True,True,x<=5,-1,5,B,2016_TRUE_TRUE_x<=5_B,3.75
2017,True,True,x<=5,-1,5,B,2017_TRUE_TRUE_x<=5_B,3.75
2018,True,True,x<=5,-1,5,B,2018_TRUE_TRUE_x<=5_B,3.75
2019,True,True,x<=5,-1,5,B,2019_TRUE_TRUE_x<=5_B,3.75
2020,True,True,x<=5,-1,5,B,2020_TRUE_TRUE_x<=5_B,3.25
2021,True,True,x<=5,-1,5,B,2021_TRUE_TRUE_x<=5_B,3.0
2022,True,True,x<=5,-1,5,B,2022_TRUE_TRUE_x<=5_B,3.25
2023,True,True,x<=5,-1,5,B,2023_TRUE_TRUE_x<=5_B,4.25
2024,True,True,x<=5,-1,5,B,2024_TRUE_TRUE_x<=5_B,4.5
1983,True,True,x<=5,-1,5,C,1983_TRUE_TRUE_x<=5_C,8.25
1984,True,True,x<=5,-1,5,C,1984_TRUE_TRUE_x<=5_C,8.0
1985,True,True,x<=5,-1,5,C,1985_TRUE_TRUE_x<=5_C,8.0
1986,True,True,x<=5,-1,5,C,1986_TRUE_TRUE_x<=5_C,6.75
1987,True,True,x<=5,-1,5,C,1987_TRUE_TRUE_x<=5_C,6.25
1988,True,True,x<=5,-1,5,C,1988_TRUE_TRUE_x<=5_C,6.75
1989,True,True,x<=5,-1,5,C,1989_TRUE_TRUE_x<=5_C,6.5
1990,True,True,x<=5,-1,5,C,1990_TRUE_TRUE_x<=5_C,6.25
1991,True,True,x<=5,-1,5,C,1991_TRUE_TRUE_x<=5_C,6.25
1992,True,True,x<=5,-1,5,C,1992_TRUE_TRUE_x<=5_C,6.0
1993,True,True,x<=5,-1,5,C,1993_TRUE_TRUE_x<=5_C,5.5
1994,True,True,x<=5,-1,5,C,1994_TRUE_TRUE_x<=5_C,5.25
1995,True,True,x<=5,-1,5,C,1995_TRUE_TRUE_x<=5_C,5.75
1996,True,True,x<=5,-1,5,C,1996_TRUE_TRUE_x<=5_C,5.25
1997,True,True,x<=5,-1,5,C,1997_TRUE_TRUE_x<=5_C,5.25
1998,True,True,x<=5,-1,5,C,1998_TRUE_TRUE_x<=5_C,5.0
1999,True,True,x<=5,-1,5,C,1999_TRUE_TRUE_x<=5_C,5.0
2000,True,True,x<=5,-1,5,C,2000_TRUE_TRUE_x<=5_C,5.5
2001,True,True,x<=5,-1,5,C,2001_TRUE_TRUE_x<=5_C,5.25
2002,True,True,x<=5,-1,5,C,2002_TRUE_TRUE_x<=5_C,5.25
2003,True,True,x<=5,-1,5,C,2003_TRUE_TRUE_x<=5_C,4.75
2004,True,True,x<=5,-1,5,C,2004_TRUE_TRUE_x<=5_C,4.75
2005,True,True,x<=5,-1,5,C,2005_TRUE_TRUE_x<=5_C,4.5
2006,True,True,x<=5,-1,5,C,2006_TRUE_TRUE_x<=5_C,4.5
2007,True,True,x<=5,-1,5,C,2007_TRUE_TRUE_x<=5_C,4.5
2008,True,True,x<=5,-1,5,C,2008_TRUE_TRUE_x<=5_C,4.5
2009,True,True,x<=5,-1,5,C,2009_TRUE_TRUE_x<=5_C,5.0
2010,True,True,x<=5,-1,5,C,2010_TRUE_TRUE_x<=5_C,4.25
2011,True,True,x<=5,-1,5,C,2011_TRUE_TRUE_x<=5_C,4.25
2012,True,True,x<=5,-1,5,C,2012_TRUE_TRUE_x<=5_C,3.75
2013,True,True,x<=5,-1,5,C,2013_TRUE_TRUE_x<=5_C,3.5
2014,True,True,x<=5,-1,5,C,2014_TRUE_TRUE_x<=5_C,3.75
2015,True,True,x<=5,-1,5,C,2015_TRUE_TRUE_x<=5_C,3.5
2016,True,True,x<=5,-1,5,C,2016_TRUE_TRUE_x<=5_C,3.75
2017,True,True,x<=5,-1,5,C,2017_TRUE_TRUE_x<=5_C,3.5
2018,True,True,x<=5,-1,5,C,2018_TRUE_TRUE_x<=5_C,3.5
2019,True,True,x<=5,-1,5,C,2019_TRUE_TRUE_x<=5_C,3.75
2020,True,True,x<=5,-1,5,C,2020_TRUE_TRUE_x<=5_C,3.25
2021,True,True,x<=5,-1,5,C,2021_TRUE_TRUE_x<=5_C,3.0
2022,True,True,x<=5,-1,5,C,2022_TRUE_TRUE_x<=5_C,3.25
2023,True,True,x<=5,-1,5,C,2023_TRUE_TRUE_x<=5_C,4.0
